ID,Game,Tournament,Region,WinningTeam,MVP,PrizePool(USD),PeakViewers,Duration(Days),Year,MapsPlayed,MapsWon,Kills,K/D Ratio,WinRate(%)
444,Counter-Strike 2,The International 2024,OCE,Fnatic,TenZ,26055941,2253619,11,2024,5,2,287,1.18,40
445,League of Legends,The International 2025,NA,Cloud9,Ana,19272362,1069830,6,2023,5,3,162,1.02,60
446,PUBG Mobile,Valorant Champions 2025,NA,OG,Boombl4,5961213,2185905,10,2023,4,1,232,1.05,25
447,League of Legends,PUBG Mobile World Cup 2024,EU,100 Thieves,ZywOo,30944686,3205565,11,2025,5,5,201,1.47,100
448,PUBG Mobile,BLAST Premier World Final 2025,SA,Team Liquid,Boombl4,7279417,4189819,13,2023,3,3,61,0.9,100
449,Valorant,The International 2025,MENA,Fnatic,Boombl4,34558235,357732,3,2024,4,2,210,1.05,50
450,Dota 2,The International 2025,ASIA,Cloud9,Leaf,24258801,3160600,13,2024,6,3,122,0.82,50
451,PUBG Mobile,Fortnite FNCS Global Championship 2025,ASIA,Natus Vincere,Ana,21687005,224772,8,2025,6,4,125,1.06,66.67
452,Dota 2,PUBG Mobile World Cup 2024,MENA,Paper Rex,Keria,7193692,568324,8,2023,4,2,249,1.29,50
453,PUBG Mobile,Fortnite FNCS Global Championship 2024,ASIA,T1,Sh1ro,16259149,163496,5,2025,7,2,169,1.08,28.57
454,Valorant,BLAST Premier World Final 2024,SA,Astralis,s1mple,5093750,2310444,7,2025,7,3,212,1.07,42.86
455,Fortnite,The International 2025,ASIA,Evil Geniuses,Keria,21383213,4858701,4,2025,7,1,210,0.81,14.29
456,Valorant,Fortnite FNCS Global Championship 2024,OCE,Natus Vincere,TenZ,39897324,297036,14,2023,4,1,192,1.33,25
457,Valorant,The International 2024,NA,Team Spirit,Sh1ro,15924525,4432007,10,2023,3,1,120,0.83,33.33
458,Dota 2,PUBG Mobile World Cup 2024,ASIA,G2 Esports,s1mple,16389323,923022,7,2024,3,2,82,0.86,66.67
459,Valorant,Valorant Champions 2024,OCE,G2 Esports,Nisha,6617954,153162,6,2025,4,3,50,1.6,75
460,League of Legends,Fortnite FNCS Global Championship 2024,SA,Astralis,Derke,25704137,783696,4,2025,7,5,202,1.26,71.43
461,Fortnite,PUBG Mobile World Cup 2025,NA,Fnatic,Sh1ro,25319272,1555191,10,2025,5,1,293,1.32,20
462,Valorant,The International 2024,OCE,Sentinels,NiKo,22549642,2542425,8,2024,7,4,123,1.41,57.14
463,Counter-Strike 2,The International 2025,EU,OG,b1t,10914302,2792713,12,2023,4,2,285,1.26,50
464,Dota 2,The International 2024,OCE,100 Thieves,Nisha,1075123,4765562,11,2024,6,2,298,1.49,33.33
465,Counter-Strike 2,Fortnite FNCS Global Championship 2025,SA,Paper Rex,s1mple,17832263,3870149,11,2025,5,4,116,1.29,80
466,Counter-Strike 2,Valorant Champions 2024,EU,FaZe Clan,Derke,27073145,1649040,5,2025,7,5,254,1.6,71.43
467,Valorant,LoL Worlds 2025,EU,G2 Esports,NiKo,9930674,298060,11,2024,3,2,208,0.94,66.67
468,Fortnite,The International 2025,NA,Fnatic,b1t,36654914,1916446,4,2025,4,3,281,1.16,75
469,Valorant,Valorant Champions 2024,MENA,G2 Esports,b1t,8463727,3027885,4,2024,6,5,50,1.4,83.33
470,League of Legends,LoL Worlds 2025,SA,Team Spirit,Boombl4,24732728,3639550,13,2023,5,5,163,1.5,100
471,Valorant,The International 2024,NA,Astralis,Nisha,17153058,4853613,14,2024,5,3,68,1.23,60
472,Dota 2,PUBG Mobile World Cup 2025,MENA,Paper Rex,Derke,24227763,4616012,4,2024,7,3,232,1.3,42.86
473,League of Legends,LoL Worlds 2025,MENA,100 Thieves,Faker,24747186,473767,9,2024,4,2,85,1.02,50
474,League of Legends,Valorant Champions 2024,ASIA,100 Thieves,Sh1ro,39374035,3411500,7,2024,5,1,88,1.22,20
475,Valorant,BLAST Premier World Final 2025,OCE,T1,Ana,27384523,3516654,4,2025,4,1,57,1.57,25
476,Fortnite,Valorant Champions 2025,MENA,FaZe Clan,ZywOo,11349215,1115845,5,2023,7,1,79,1.02,14.29
477,Dota 2,Valorant Champions 2024,SA,Team Spirit,TenZ,37639130,2652176,3,2024,6,5,235,1.52,83.33
478,Valorant,Valorant Champions 2025,OCE,Astralis,Boombl4,18379858,1185802,8,2024,3,3,134,1.21,100
479,League of Legends,The International 2024,SA,100 Thieves,Derke,20314310,2583329,6,2025,4,2,122,1.2,50
480,PUBG Mobile,PUBG Mobile World Cup 2025,EU,OG,Sh1ro,1333986,1787873,6,2024,5,4,159,1.41,80
481,Fortnite,PUBG Mobile World Cup 2025,MENA,Cloud9,Faker,38922556,940468,3,2023,7,4,153,0.94,57.14
482,PUBG Mobile,Valorant Champions 2025,OCE,Fnatic,Aspas,8896363,1244634,9,2024,4,3,225,1.15,75
483,Valorant,The International 2024,ASIA,G2 Esports,Leaf,35651272,2128781,12,2025,7,3,87,1.31,42.86
484,PUBG Mobile,Valorant Champions 2025,SA,Cloud9,Keria,21205874,1754608,11,2024,3,1,100,1.26,33.33
485,Counter-Strike 2,BLAST Premier World Final 2025,EU,Natus Vincere,Derke,26687542,905330,12,2024,7,5,152,1.14,71.43
486,Counter-Strike 2,Fortnite FNCS Global Championship 2025,SA,Natus Vincere,Sh1ro,13750096,4356929,9,2024,5,2,195,0.94,40
487,Counter-Strike 2,Fortnite FNCS Global Championship 2024,NA,100 Thieves,Faker,34763839,713184,4,2024,7,3,170,1.5,42.86
488,PUBG Mobile,LoL Worlds 2024,SA,Team Liquid,s1mple,16953443,544357,5,2025,5,1,52,0.99,20
489,PUBG Mobile,BLAST Premier World Final 2024,EU,G2 Esports,ShowMaker,29301696,3971354,3,2025,6,2,260,1.25,33.33
490,Counter-Strike 2,PUBG Mobile World Cup 2024,MENA,Team Spirit,Keria,12495322,981130,12,2024,7,7,182,1.06,100
491,League of Legends,BLAST Premier World Final 2025,OCE,G2 Esports,Derke,16231270,2950884,12,2024,6,1,178,0.89,16.67
492,Fortnite,PUBG Mobile World Cup 2024,SA,Team Spirit,TenZ,26484896,3690668,4,2023,6,4,276,1,66.67
493,PUBG Mobile,PUBG Mobile World Cup 2024,OCE,Team Spirit,NiKo,19353997,2447239,7,2025,7,2,204,1.18,28.57
494,PUBG Mobile,BLAST Premier World Final 2024,ASIA,Evil Geniuses,Aspas,35607925,4751331,11,2025,5,3,68,0.89,60
495,Dota 2,BLAST Premier World Final 2024,SA,Astralis,b1t,29285316,3112605,14,2023,6,5,264,0.96,83.33
496,Counter-Strike 2,BLAST Premier World Final 2025,EU,FaZe Clan,Sh1ro,13681932,588968,8,2023,6,4,118,0.99,66.67
497,Counter-Strike 2,The International 2025,OCE,Team Spirit,TenZ,27591408,3444346,9,2023,5,4,262,0.85,80
498,Dota 2,BLAST Premier World Final 2025,EU,G2 Esports,TenZ,39369487,2685135,5,2023,5,1,68,0.9,20
499,Valorant,PUBG Mobile World Cup 2025,NA,Fnatic,Sh1ro,15406292,2133031,4,2023,4,2,144,0.84,50
500,Valorant,The International 2025,EU,Fnatic,b1t,13049663,4945415,10,2025,4,2,270,0.93,50
501,Valorant,Valorant Champions 2025,SA,FaZe Clan,Derke,25119740,2085352,4,2023,7,1,280,1.57,14.29
502,League of Legends,The International 2025,OCE,100 Thieves,Keria,28508410,1067384,12,2024,5,3,190,1.01,60
503,Dota 2,LoL Worlds 2024,OCE,Evil Geniuses,Derke,12481790,1739109,3,2024,6,2,120,1.05,33.33
504,Fortnite,The International 2025,EU,G2 Esports,s1mple,5210990,4495794,4,2023,6,3,165,0.95,50
505,Fortnite,PUBG Mobile World Cup 2025,EU,Cloud9,ShowMaker,22603977,4762566,12,2023,5,2,257,1.31,40
506,Fortnite,LoL Worlds 2025,SA,T1,Nisha,24381467,3534657,8,2023,4,3,59,1.22,75
507,Valorant,Fortnite FNCS Global Championship 2025,ASIA,100 Thieves,Boombl4,15674227,265222,5,2023,5,5,204,1.22,100
508,Counter-Strike 2,LoL Worlds 2025,SA,G2 Esports,NiKo,17147529,3612318,13,2024,4,2,68,1.25,50
509,Fortnite,The International 2025,SA,T1,Leaf,38630338,2468856,10,2024,4,1,184,0.87,25
510,League of Legends,PUBG Mobile World Cup 2025,NA,Astralis,ZywOo,24182155,4464176,4,2023,5,1,89,1.18,20
511,PUBG Mobile,LoL Worlds 2024,EU,FaZe Clan,TenZ,3887533,3653093,6,2024,5,3,269,1.41,60
512,Counter-Strike 2,PUBG Mobile World Cup 2025,SA,Evil Geniuses,Keria,1763645,3877307,14,2023,5,3,111,0.8,60
513,Dota 2,PUBG Mobile World Cup 2025,SA,Cloud9,Leaf,9188361,2643865,9,2023,6,3,64,1.35,50
514,League of Legends,The International 2024,EU,FaZe Clan,b1t,11452082,1679260,13,2023,4,4,252,0.85,100
515,League of Legends,PUBG Mobile World Cup 2024,MENA,Team Spirit,Boombl4,39703302,3826406,9,2025,7,2,179,1.14,28.57
516,Valorant,PUBG Mobile World Cup 2024,EU,OG,NiKo,12761089,792979,14,2023,6,6,150,1.48,100
517,League of Legends,LoL Worlds 2025,OCE,Vitality,TenZ,36061934,4717376,13,2024,7,2,183,1.23,28.57
518,Fortnite,BLAST Premier World Final 2025,ASIA,Vitality,s1mple,39325253,4000508,8,2024,6,4,292,0.99,66.67
519,Dota 2,The International 2024,ASIA,Astralis,Keria,26830874,2553997,5,2024,4,2,170,1.51,50
520,Valorant,LoL Worlds 2025,OCE,Natus Vincere,Leaf,15947582,1702869,3,2023,5,2,92,1.57,40
521,Dota 2,LoL Worlds 2025,ASIA,100 Thieves,Aspas,9859919,1082090,8,2024,7,3,292,0.91,42.86
522,Counter-Strike 2,LoL Worlds 2025,MENA,G2 Esports,Aspas,19390506,3196382,8,2024,6,2,65,1.49,33.33
523,Fortnite,PUBG Mobile World Cup 2024,EU,Cloud9,b1t,38013124,1161152,3,2023,3,1,287,1.5,33.33
524,Valorant,Fortnite FNCS Global Championship 2025,OCE,Paper Rex,b1t,24341260,1409661,5,2025,5,1,193,0.9,20
525,League of Legends,Valorant Champions 2025,ASIA,OG,Derke,36660609,4238241,9,2023,7,5,255,1.35,71.43
526,Valorant,PUBG Mobile World Cup 2025,MENA,T1,Sh1ro,37603901,1065619,12,2023,4,3,144,1,75
527,PUBG Mobile,Valorant Champions 2025,ASIA,Sentinels,s1mple,21209818,4731347,11,2023,3,3,292,1.39,100
528,Counter-Strike 2,LoL Worlds 2025,ASIA,Team Spirit,Keria,6442345,3413641,11,2025,3,1,74,1.27,33.33
529,Dota 2,The International 2025,ASIA,FaZe Clan,Ana,2284892,1809827,4,2023,7,5,182,1.42,71.43
530,League of Legends,Fortnite FNCS Global Championship 2024,EU,Fnatic,Nisha,37454499,1382829,14,2025,4,2,155,0.93,50
531,Valorant,The International 2025,ASIA,Cloud9,s1mple,7044719,3585454,8,2025,3,1,58,1.23,33.33
532,Counter-Strike 2,PUBG Mobile World Cup 2024,NA,FaZe Clan,Faker,9108693,1185562,3,2023,5,5,140,1.29,100
533,League of Legends,PUBG Mobile World Cup 2024,OCE,Sentinels,NiKo,32860172,4680159,4,2023,7,6,298,1.08,85.71
534,Valorant,PUBG Mobile World Cup 2025,MENA,Team Spirit,ZywOo,15334793,2018615,6,2024,4,2,116,1.16,50
535,Dota 2,PUBG Mobile World Cup 2025,NA,Cloud9,Ana,26514481,4165582,12,2025,3,1,265,1.46,33.33
536,Dota 2,LoL Worlds 2025,ASIA,Sentinels,Faker,2644627,3760944,12,2023,4,4,229,1.56,100
537,League of Legends,Fortnite FNCS Global Championship 2024,OCE,FaZe Clan,NiKo,27381409,3876735,10,2023,7,5,183,1.48,71.43
538,Counter-Strike 2,LoL Worlds 2024,ASIA,Natus Vincere,Faker,4714006,708823,14,2024,7,5,130,1.41,71.43
539,PUBG Mobile,The International 2025,ASIA,G2 Esports,Sh1ro,17770439,4929682,10,2023,5,2,62,1.58,40
540,Valorant,PUBG Mobile World Cup 2024,EU,Astralis,NiKo,9396222,1558901,12,2025,4,4,187,0.9,100
541,Dota 2,The International 2024,OCE,Astralis,NiKo,22241569,2136047,7,2025,7,7,286,1.5,100
542,Dota 2,BLAST Premier World Final 2025,EU,Team Spirit,Keria,14820712,1886291,13,2025,4,2,268,0.93,50
543,Counter-Strike 2,The International 2024,OCE,Cloud9,NiKo,18613228,1377589,4,2024,3,2,97,1.44,66.67
544,PUBG Mobile,PUBG Mobile World Cup 2025,NA,Astralis,Leaf,8917033,2774434,6,2024,4,2,290,1.42,50
545,Fortnite,PUBG Mobile World Cup 2025,NA,FaZe Clan,Leaf,39151030,3131041,7,2025,7,4,91,1.26,57.14
546,League of Legends,PUBG Mobile World Cup 2025,NA,FaZe Clan,Keria,13322543,4615484,3,2025,5,3,125,0.9,60
547,PUBG Mobile,Fortnite FNCS Global Championship 2024,SA,Fnatic,Leaf,11201281,584609,4,2023,7,4,182,1.57,57.14
548,PUBG Mobile,PUBG Mobile World Cup 2024,ASIA,Team Spirit,Nisha,8842454,1550777,9,2025,5,3,216,1.58,60
549,PUBG Mobile,PUBG Mobile World Cup 2024,ASIA,OG,Faker,37851314,3988122,13,2025,5,2,95,1.56,40
550,Dota 2,Valorant Champions 2024,EU,100 Thieves,Nisha,20156339,3155592,14,2024,5,2,138,1.22,40
551,Counter-Strike 2,PUBG Mobile World Cup 2024,NA,Team Liquid,Aspas,32891823,2462297,10,2023,5,3,209,1.4,60
552,Dota 2,Fortnite FNCS Global Championship 2024,OCE,Vitality,Faker,6876460,4409785,3,2025,7,5,207,1.4,71.43
553,Counter-Strike 2,PUBG Mobile World Cup 2025,EU,Fnatic,s1mple,7408860,2365680,6,2024,5,4,63,1.38,80
554,Counter-Strike 2,BLAST Premier World Final 2024,OCE,Team Liquid,Aspas,30112872,3250396,13,2024,4,4,79,1.53,100
555,Counter-Strike 2,LoL Worlds 2024,SA,Vitality,ShowMaker,35262869,345025,12,2023,6,2,268,1.45,33.33
556,Fortnite,PUBG Mobile World Cup 2025,EU,100 Thieves,Boombl4,30221264,2898645,7,2024,3,1,243,1.02,33.33
557,Dota 2,The International 2025,NA,Fnatic,Derke,38297551,1905236,9,2024,7,7,232,1.24,100
558,Dota 2,Fortnite FNCS Global Championship 2024,SA,G2 Esports,Derke,3631225,2066837,8,2023,4,2,223,1.37,50
559,PUBG Mobile,Valorant Champions 2024,SA,T1,TenZ,27281427,4624593,3,2025,5,1,161,1.24,20
560,Counter-Strike 2,PUBG Mobile World Cup 2025,MENA,Fnatic,ZywOo,9331391,2429697,14,2025,6,4,268,1.08,66.67
561,Valorant,Fortnite FNCS Global Championship 2024,NA,Cloud9,Leaf,18264418,4648136,5,2024,7,2,235,0.92,28.57
562,Fortnite,Valorant Champions 2025,ASIA,Team Spirit,s1mple,32574780,4577014,5,2023,3,1,168,1.44,33.33
563,PUBG Mobile,LoL Worlds 2025,NA,Natus Vincere,Boombl4,14904670,1450802,7,2023,5,2,62,1.56,40
564,PUBG Mobile,Valorant Champions 2025,EU,Vitality,Sh1ro,18642193,2128728,4,2023,3,2,288,1.2,66.67
565,PUBG Mobile,The International 2025,SA,Vitality,s1mple,17645599,3879118,10,2025,6,2,268,1.08,33.33
566,PUBG Mobile,Valorant Champions 2025,OCE,Astralis,Derke,18755413,3922465,7,2024,3,2,114,1.34,66.67
567,Dota 2,LoL Worlds 2024,OCE,Evil Geniuses,NiKo,25040722,72686,10,2025,4,3,60,1.14,75
568,Valorant,The International 2025,MENA,T1,ShowMaker,27600529,2587187,7,2024,5,1,149,1.4,20
569,Valorant,Fortnite FNCS Global Championship 2024,NA,Natus Vincere,ZywOo,6829029,3729856,9,2024,7,5,281,1.57,71.43
570,Fortnite,BLAST Premier World Final 2025,OCE,Team Spirit,TenZ,27947406,4507442,4,2025,7,6,104,1.26,85.71
571,Fortnite,The International 2024,MENA,T1,s1mple,6546612,165560,9,2025,3,3,126,1.43,100
572,Dota 2,The International 2024,MENA,Natus Vincere,Sh1ro,13517474,3804720,14,2023,4,4,108,0.94,100
573,Fortnite,BLAST Premier World Final 2024,ASIA,OG,s1mple,9030284,1531814,14,2025,3,3,296,1.2,100
574,Counter-Strike 2,The International 2025,SA,Natus Vincere,s1mple,17216061,1271184,8,2025,4,2,259,0.9,50
575,League of Legends,LoL Worlds 2025,SA,T1,Aspas,26759313,3394403,5,2025,5,4,76,1.34,80
576,Dota 2,PUBG Mobile World Cup 2024,NA,Astralis,TenZ,27090507,4320316,3,2025,7,2,53,1.43,28.57
577,Fortnite,BLAST Premier World Final 2025,SA,Vitality,Aspas,16819672,4424271,14,2023,3,2,205,1.59,66.67
578,League of Legends,PUBG Mobile World Cup 2024,MENA,Paper Rex,Boombl4,2763475,4806615,12,2023,6,6,159,1.54,100
579,Counter-Strike 2,BLAST Premier World Final 2025,MENA,Paper Rex,Ana,33018984,3791481,8,2024,4,3,138,1.17,75
580,Fortnite,The International 2024,OCE,OG,Sh1ro,1703715,4504397,6,2025,3,3,238,1.52,100
581,League of Legends,BLAST Premier World Final 2025,MENA,Team Liquid,b1t,9711010,811851,8,2024,5,5,149,1.59,100
582,PUBG Mobile,Valorant Champions 2024,OCE,T1,Keria,37257154,1919776,13,2023,5,2,157,1.03,40
583,Fortnite,BLAST Premier World Final 2024,NA,Sentinels,TenZ,39466126,860040,12,2025,4,2,138,1.41,50
584,Counter-Strike 2,Valorant Champions 2025,NA,100 Thieves,ShowMaker,21839992,141875,4,2024,3,3,74,1.59,100
585,Valorant,LoL Worlds 2024,EU,Natus Vincere,s1mple,32988194,1082452,4,2024,7,1,163,1.23,14.29
586,PUBG Mobile,PUBG Mobile World Cup 2024,EU,OG,Faker,1734842,51080,9,2025,3,2,188,1.19,66.67
587,Dota 2,The International 2024,ASIA,100 Thieves,ZywOo,28603265,673485,3,2024,5,1,241,1.53,20
588,PUBG Mobile,LoL Worlds 2025,NA,Astralis,Nisha,12960347,1408356,5,2023,4,3,129,0.99,75
589,League of Legends,Fortnite FNCS Global Championship 2025,NA,FaZe Clan,ShowMaker,18936193,1780137,10,2025,4,2,279,0.88,50
590,Counter-Strike 2,Fortnite FNCS Global Championship 2024,MENA,Evil Geniuses,ZywOo,7908596,3111355,12,2023,7,7,208,1.4,100
591,Valorant,Fortnite FNCS Global Championship 2025,NA,Team Liquid,b1t,18623163,1058121,14,2025,7,7,144,1.12,100
592,Dota 2,The International 2024,NA,Cloud9,ZywOo,15896936,2594060,8,2023,7,4,200,0.89,57.14
593,Counter-Strike 2,BLAST Premier World Final 2025,OCE,Evil Geniuses,Aspas,7958857,1025511,8,2025,7,3,105,1.54,42.86
594,League of Legends,The International 2024,OCE,Team Spirit,Aspas,36132786,3169046,6,2025,3,2,139,1.49,66.67
595,Fortnite,Valorant Champions 2024,EU,Vitality,NiKo,39731302,1362389,12,2024,4,1,114,1.24,25
596,Fortnite,PUBG Mobile World Cup 2025,ASIA,100 Thieves,ZywOo,1842930,2197083,5,2025,6,6,200,1.5,100
597,Counter-Strike 2,Fortnite FNCS Global Championship 2025,MENA,Team Liquid,Nisha,14018663,1264557,7,2024,3,1,169,1.39,33.33
598,League of Legends,The International 2024,OCE,Natus Vincere,Nisha,6094885,4283559,3,2023,3,1,127,1.05,33.33
599,Fortnite,Fortnite FNCS Global Championship 2025,OCE,Team Liquid,Boombl4,26674526,3920576,9,2024,7,2,216,1.4,28.57
600,Dota 2,Fortnite FNCS Global Championship 2024,EU,FaZe Clan,Sh1ro,17151858,2017690,3,2023,7,7,216,1.08,100
601,Valorant,The International 2024,SA,Cloud9,Boombl4,35955427,3974625,10,2025,7,6,295,0.93,85.71
602,League of Legends,BLAST Premier World Final 2025,MENA,Fnatic,b1t,8926881,4437757,5,2025,6,5,101,0.86,83.33
603,Dota 2,The International 2024,OCE,FaZe Clan,ShowMaker,3480038,3603521,10,2024,6,4,261,1.44,66.67
604,Dota 2,PUBG Mobile World Cup 2024,MENA,Team Liquid,NiKo,4209647,602633,7,2023,4,1,168,1.51,25
605,PUBG Mobile,PUBG Mobile World Cup 2025,ASIA,G2 Esports,Nisha,1506631,4403339,14,2025,4,3,201,1.27,75
606,PUBG Mobile,BLAST Premier World Final 2024,MENA,Team Spirit,ZywOo,39758458,435617,11,2025,6,4,272,0.94,66.67
607,League of Legends,BLAST Premier World Final 2024,SA,Fnatic,Leaf,6268301,2564000,4,2025,3,2,194,0.8,66.67
608,Fortnite,The International 2024,NA,Team Spirit,TenZ,29429653,877091,10,2025,5,2,216,1.5,40
609,Fortnite,Fortnite FNCS Global Championship 2024,EU,G2 Esports,ShowMaker,1484615,925958,7,2024,5,1,205,1.58,20
610,PUBG Mobile,BLAST Premier World Final 2025,ASIA,FaZe Clan,Aspas,12807263,1627417,9,2023,6,5,295,1.46,83.33
611,Valorant,The International 2025,MENA,Sentinels,Leaf,20383444,2860250,12,2024,3,2,51,1.09,66.67
612,PUBG Mobile,Fortnite FNCS Global Championship 2025,SA,Team Spirit,Boombl4,7151672,3920479,3,2024,5,1,216,1.57,20
613,Counter-Strike 2,BLAST Premier World Final 2025,NA,FaZe Clan,Derke,28451929,3373128,12,2023,6,6,175,0.92,100
614,Valorant,BLAST Premier World Final 2024,ASIA,G2 Esports,Sh1ro,37734739,3779454,4,2025,6,4,249,1.31,66.67
615,Fortnite,PUBG Mobile World Cup 2024,OCE,G2 Esports,Ana,3180119,4777924,11,2023,3,3,66,1.03,100
616,PUBG Mobile,LoL Worlds 2024,OCE,Astralis,Faker,32639794,304990,6,2025,7,7,223,1.02,100
617,Fortnite,BLAST Premier World Final 2025,ASIA,Natus Vincere,Keria,12859909,4186762,9,2023,6,4,67,0.81,66.67
618,Counter-Strike 2,BLAST Premier World Final 2024,MENA,Sentinels,Sh1ro,28383490,4883425,11,2025,3,1,216,1.35,33.33
619,PUBG Mobile,Fortnite FNCS Global Championship 2024,SA,OG,Faker,24254616,2733633,3,2025,4,4,96,0.98,100
620,League of Legends,PUBG Mobile World Cup 2024,ASIA,Natus Vincere,Boombl4,25364958,163098,10,2023,6,1,61,1.31,16.67
621,League of Legends,The International 2025,SA,Vitality,Nisha,30928164,861203,14,2023,5,1,84,1.46,20
622,Dota 2,Fortnite FNCS Global Championship 2025,OCE,100 Thieves,Leaf,22282162,4665940,10,2025,3,3,85,1.29,100
623,Counter-Strike 2,Valorant Champions 2024,EU,Sentinels,ShowMaker,35073296,3630415,6,2025,3,1,213,0.97,33.33
624,Fortnite,PUBG Mobile World Cup 2025,EU,FaZe Clan,NiKo,27401768,912645,7,2025,7,7,52,0.94,100
625,League of Legends,The International 2025,ASIA,G2 Esports,b1t,39696972,311856,12,2025,6,4,150,1.57,66.67
626,League of Legends,PUBG Mobile World Cup 2025,OCE,Cloud9,Aspas,12954080,832632,6,2023,3,2,266,1.07,66.67
627,Fortnite,Fortnite FNCS Global Championship 2024,SA,Natus Vincere,Boombl4,1645377,173454,3,2023,7,5,133,1.29,71.43
628,League of Legends,Fortnite FNCS Global Championship 2024,SA,Evil Geniuses,Boombl4,18680413,2400156,7,2025,3,2,180,1.02,66.67
629,Fortnite,LoL Worlds 2025,NA,FaZe Clan,Leaf,3286419,3810016,14,2023,6,6,85,1.17,100
630,Valorant,Fortnite FNCS Global Championship 2025,OCE,G2 Esports,Faker,17986073,3269307,7,2023,5,3,229,1.13,60
631,PUBG Mobile,LoL Worlds 2025,EU,G2 Esports,ShowMaker,6351397,862554,12,2023,3,3,272,1.41,100
632,Counter-Strike 2,Valorant Champions 2025,EU,Fnatic,NiKo,9506473,247125,4,2024,6,1,63,1.29,16.67
633,League of Legends,The International 2024,ASIA,Natus Vincere,Boombl4,35095650,558550,13,2023,3,1,75,0.98,33.33
634,Fortnite,PUBG Mobile World Cup 2025,ASIA,Team Liquid,NiKo,28634795,2052319,13,2024,3,1,246,1.56,33.33
635,Dota 2,PUBG Mobile World Cup 2025,NA,OG,s1mple,1916391,135394,5,2024,5,2,213,1.01,40
636,Fortnite,Valorant Champions 2024,NA,Astralis,ShowMaker,30479545,3433162,12,2025,5,1,159,0.81,20
637,Valorant,LoL Worlds 2025,OCE,Evil Geniuses,Sh1ro,11687627,723623,10,2025,5,4,161,1.34,80
638,Fortnite,Valorant Champions 2025,ASIA,Natus Vincere,s1mple,4097377,2754852,12,2023,7,3,234,1.28,42.86
639,Fortnite,PUBG Mobile World Cup 2025,ASIA,100 Thieves,Ana,4788929,96772,3,2023,7,4,73,1.41,57.14
640,Fortnite,LoL Worlds 2024,OCE,T1,Derke,27087950,4049323,3,2024,4,2,284,1.29,50
641,PUBG Mobile,LoL Worlds 2024,ASIA,G2 Esports,Leaf,18884250,3587706,11,2024,7,4,210,0.89,57.14
642,League of Legends,PUBG Mobile World Cup 2025,MENA,T1,b1t,15392299,148070,12,2025,7,1,213,1.58,14.29
643,League of Legends,The International 2025,NA,OG,Keria,22582236,3731592,4,2024,3,3,263,1.07,100
644,League of Legends,PUBG Mobile World Cup 2024,ASIA,Astralis,Aspas,9068114,4451549,8,2025,4,4,81,1.55,100
645,Fortnite,LoL Worlds 2024,SA,Fnatic,b1t,33401446,3941980,7,2024,6,6,117,1.59,100
646,Valorant,The International 2024,MENA,Fnatic,Leaf,30267754,4794370,10,2025,5,3,164,1.21,60
647,Fortnite,BLAST Premier World Final 2024,ASIA,Sentinels,Leaf,16310805,4976304,4,2024,7,7,96,1.26,100
648,PUBG Mobile,LoL Worlds 2024,NA,Natus Vincere,Derke,21130357,4116838,11,2024,3,3,55,0.92,100
649,Valorant,Fortnite FNCS Global Championship 2024,OCE,Fnatic,Sh1ro,14436887,1914191,11,2023,3,3,170,0.87,100
650,PUBG Mobile,LoL Worlds 2025,EU,T1,Leaf,18451866,2818951,9,2025,5,5,288,1.44,100
651,Fortnite,Valorant Champions 2025,OCE,Team Liquid,Leaf,15852959,454540,6,2024,5,1,111,1.57,20
652,Valorant,PUBG Mobile World Cup 2025,SA,Vitality,Boombl4,10500684,1133399,14,2023,5,2,239,0.85,40
653,Counter-Strike 2,Valorant Champions 2025,EU,OG,s1mple,28052427,3419860,6,2024,3,2,286,1.5,66.67
654,Valorant,LoL Worlds 2025,MENA,Paper Rex,ZywOo,32921121,902219,3,2023,6,1,74,1.04,16.67
655,League of Legends,Valorant Champions 2024,OCE,Team Liquid,Sh1ro,30818255,1924212,13,2025,6,5,80,1.29,83.33
656,Dota 2,The International 2024,EU,Team Liquid,Nisha,38555332,1320392,12,2025,5,4,295,0.95,80
657,PUBG Mobile,The International 2024,SA,Evil Geniuses,Nisha,9441852,4566999,6,2024,4,2,170,1.44,50
658,Valorant,PUBG Mobile World Cup 2024,OCE,Cloud9,b1t,26907794,449367,12,2023,4,3,270,0.83,75
659,Dota 2,BLAST Premier World Final 2024,ASIA,Evil Geniuses,ShowMaker,12182154,2658252,9,2024,5,1,79,1.14,20
660,Valorant,Fortnite FNCS Global Championship 2024,EU,Paper Rex,Sh1ro,32830522,4855971,8,2024,7,5,75,1.43,71.43
661,Dota 2,Valorant Champions 2025,OCE,T1,Keria,38921083,500712,8,2024,7,3,56,1.22,42.86
662,League of Legends,BLAST Premier World Final 2024,OCE,FaZe Clan,ShowMaker,14092773,2532347,11,2025,4,2,262,1.24,50
663,Valorant,PUBG Mobile World Cup 2024,ASIA,G2 Esports,ZywOo,13434441,2780677,13,2023,4,4,87,1.46,100
664,Fortnite,LoL Worlds 2025,EU,Fnatic,Aspas,28818355,3161794,12,2024,4,4,249,0.96,100
665,Counter-Strike 2,PUBG Mobile World Cup 2025,NA,OG,Boombl4,25432909,1386254,8,2024,5,3,125,1.37,60
666,Fortnite,The International 2025,OCE,Team Spirit,Keria,21672465,521443,13,2023,6,2,99,0.83,33.33
